MLS ID,Sale Price,Close Date,Address,Zip Code,Total Sq Ft,Lot Size,Latitude,Longitude,High School,High School Rank,Middle School,Middle School Rank,Elementary School,Elementary School Rank,dollar/sqft,Walk Score
7023458,362500.0,2021-01-04,605 Red Feather LN,80863,2427.0,28314.0,39.0028302,-105.05859540000002,Achieve Online,3.0,Falcon Middle School,3.0,,3.0,149.36135146271116,29
3299194,362500.0,2021-01-08,10180 Seawolf DR,80925,2697.0,5600.0,38.7364623,-104.6386387,Palmer High School,2.0,Skyview Middle School,3.0,,,134.40860215053763,6
2373397,364500.0,2021-01-04,6375 Pushmataha DR,80915,2669.0,7335.5,38.8593502,-104.7091444,Community Prep Charter School,5.0,Fox Meadow Middle School,3.0,,2.0,136.5680029973773,31
1479485,370000.0,2021-01-05,11250 Florence ST #6D,80640,1853.0,100.0,39.9011336,-104.8707272,Woodland Park High School,2.0,Russell Middle School,1.0,,2.0,199.67620075553157,6
4936087,375000.0,2021-01-05,1324 N Corona ST,80903,1407.0,7500.0,38.8526668,-104.815764,Mesa Ridge High School,1.0,Horizon Middle School,2.0,,3.0,266.52452025586354,50
3050374,377000.0,2021-01-06,20560 Sahara DR,80831,1344.0,217800.0,38.942605,-104.448103,Pikes Peak Early College,,Galileo School Of Math And Science,,,,280.5059523809524,0
5802215,380000.0,2021-01-04,6209 San Mateo DR,80911,2864.0,6548.0,38.7602156,-104.7086253,Prairie View High School,2.0,West Middle School,2.0,,2.0,132.68156424581005,0
8236076,380000.0,2021-01-05,7842 Dry Willow WY,80908,3280.0,6037.0,38.9461535,-104.6870348,Community Prep Charter School,3.0,North Middle School,3.0,,2.0,115.85365853658537,0
5837111,382000.0,2021-01-07,4518 Moffat LN,80915,2281.0,7400.0,38.8480675,-104.742546,,1.0,Woodland Park Middle School,1.0,,0.0,167.47040771591406,42
4906550,385000.0,2021-01-05,2306 Lockhaven DR,80909,2869.0,9169.0,38.8650658,-104.7806045,Widefield High School,1.0,Janitell Junior High School,1.0,Springs Ranch Elementary School,2.0,134.19309864064135,28
